time_s,linear_mps,angular_radps
40.613806725,0.0,-0.45
40.633911372,0.0,-0.45
40.653874636,0.0,-0.45
40.67404604,0.0,-0.45
40.694046259,0.0,-0.45
40.714160681,0.0,-0.45
40.733958006,0.0,-0.45
40.753889799,0.0,-0.45
40.773929119,0.0,-0.45
40.793952942,0.0,-0.45
40.813821316,0.0,-0.45
40.833952427,0.0,-0.45
40.853837252,0.0,-0.45
40.874189854,0.0,-0.45
40.894002438,0.0,-0.45
40.914063692,0.0,-0.45
40.934041024,0.0,-0.45
40.954343081,0.0,-0.45
40.974044562,0.0,-0.45
40.994009257,0.0,-0.45
41.01391697,0.0,-0.45
41.033989907,0.0,-0.45
41.053891659,0.0,-0.45
41.073987484,0.0,-0.45
41.09387374,0.0,-0.45
41.114016056,0.0,-0.45
41.133974791,0.0,-0.45
41.154352188,0.0,-0.45
41.173950911,0.0,-0.45
41.1939497,0.0,-0.45
41.213802815,0.0,-0.45
41.234004021,0.0,-0.45
41.253968478,0.0,-0.45
41.273886919,0.0,-0.45
41.294007302,0.0,-0.45
41.313802243,0.0,-0.45
41.333976746,0.0,-0.45
41.35384965,0.0,-0.45
41.375080824,0.0,-0.45
41.395406247,0.0,-0.45
41.413912297,0.0,-0.45
41.433944702,0.0,-0.45
41.454000235,0.0,-0.45
41.474558354,0.0,-0.45
41.493977547,0.0,-0.45
41.514505864,0.0,0.0
41.616047144,0.0,0.0
41.624431849,0.0,0.0
41.675869465,0.0125,-0.06
41.724704743,0.025,-0.12
41.774926901,0.037500000000000006,-0.18
41.825067044,0.05,-0.24
41.874907732,0.0625,-0.3
41.9247365,0.075,-0.36
41.975393057,0.0875,-0.3695716033165888
42.024739743,0.09999999999999999,-0.3695716033165888
42.075206995,0.11249999999999999,-0.3369884999583126
42.125775338,0.12499999999999999,-0.32780876157664884
42.175639868,0.13749999999999998,-0.32780876157664884
42.224959612,0.15,-0.29285696362258085
42.274916172,0.1625,-0.28310922293845353
42.32461977,0.17500000000000002,-0.2654346226529274
42.374945402,0.18750000000000003,-0.23997028158630762
42.424640179,0.20000000000000004,-0.19952253310854828
42.474948168,0.21250000000000005,-0.15684869862149609
42.524852515,0.22500000000000006,-0.13166574985495594
42.574954033,0.23750000000000007,-0.09244621725246405
42.625589371,0.25000000000000006,-0.06552439696484114
42.674958229,0.26250000000000007,-0.03074576850343491
42.72470069,0.2750000000000001,-0.09074576850343491
42.77514863,0.2875000000000001,-0.1100840269163823
42.824978352,0.3000000000000001,-0.08004450664184637
42.87475276,0.3125000000000001,-0.04890175732958979
42.924856425,0.3250000000000001,-0.02587633174806392
42.974923373,0.33227929487996266,0.0048267829947969965
43.024854422,0.33726247855080893,0.029691831716997186
43.074738264,0.33875488772674284,0.05854370199673864
43.124823571,0.3433784328251432,-0.0014562980032613582
43.174958468,0.3470103454436054,-0.012801163414651484
43.225087405,0.34892254815865886,0.012329217258729264
43.274868489,0.3502952208672057,0.039322974109542885
43.324882508,0.3516900891754029,0.0667634252194077
43.374916554,0.3573510478027389,0.08963934964969977
43.424863339,0.35866546546288874,0.11521837935048565
43.47516656,0.3624802718040058,0.13699893449565065
43.524972916,0.36366477792617996,0.07699893449565065
43.574984551,0.3670296886988975,0.07006083640267854
43.625055075,0.36936221399969965,0.09161970844516451
43.674971819,0.3705803447553753,0.11564236730971444
43.725086451,0.37412608420103927,0.13965029421232678
43.774731398,0.37414010079139853,0.164105372741115
43.825035811,0.3750564987779144,0.18772145005644786
43.874742031,0.371924848927727,0.12772145005644786
43.929490328,0.3708342279988514,0.12010417435273091
43.974870205,0.37040336369551535,0.14324846532360325
44.024686098,0.3692260224165877,0.1666321818594746
44.074952364,0.36801971485642443,0.19059121102698026
44.124805451,0.3693794950220961,0.2151721050320743
44.184533835,0.36826646550838454,0.23712304859737354
44.225121975,0.36887924686067247,0.17712304859737354
44.274703265,0.3679000368436507,0.11712304859737355
44.324737549,0.3669251250496612,0.05712304859737355
44.375047446,0.33442512504966115,-0.0028769514026264487
44.428489924,0.3019251250496612,-0.06287695140262645
44.474677801,0.27830141799121283,-0.12287695140262644
44.524843932,0.27802954669070723,-0.1732721467326797
44.574690581,0.2768837186528067,-0.2332721467326797
44.624872208,0.2774273593743812,-0.2932721467326797
44.674904108,0.2759879728727939,-0.28238163283835216
44.72472477,0.274453986233318,-0.24601756599839442
44.775089264,0.28001848163669973,-0.3060175659983944
44.824624299999996,0.2784126609930973,-0.27642916685883945
44.875557423,0.2793252370090766,-0.23411733499259213
44.924784184,0.2777310110659662,-0.19696822450887508
44.97513485,0.2784685784538132,-0.15433596972861274
45.024954558,0.2768009510213363,-0.11585828362483697
45.074890375,0.2797868229850268,-0.17585828362483696
45.12492013,0.28065153216065525,-0.14568537397653525
45.187980175,0.2791103350083208,-0.11039477321695923
45.224880457,0.27703800375092225,-0.07474903767245755
45.274736643,0.27545503207984523,-0.03852607651997986
45.324890852,0.2717233190913402,-0.09852607651997985
45.374715567,0.27461552414956963,-0.07242517526186609
45.425566435,0.2723629242759619,-0.04314707475921009
45.475209236,0.2709277092065465,-0.010018262295772962
45.524689675,0.26941302835601366,-0.07001826229577296
45.574827671,0.26523392531315276,-0.13001826229577296
45.624683857,0.26378351205258654,-0.13019659480736223
45.674995661,0.26546724551777423,-0.07019659480736223
